"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Jun-2024","EQ","216.30","220.30","214.00","215.12","214.79","214.80","216.89","289.25","72.45","21,70,953","47,08,59,591.24","23,730"
"14-Jun-2024","EQ","217.80","220.30","214.35","217.31","215.00","215.12","217.46","289.25","64.10","31,80,985","69,17,22,006.31","32,819"
"13-Jun-2024","EQ","215.00","218.50","212.62","213.61","217.10","217.31","215.98","289.25","64.10","36,44,046","78,70,57,948.98","36,600"
"12-Jun-2024","EQ","214.40","218.50","212.91","213.19","214.20","213.61","215.65","289.25","64.10","32,86,243","70,86,81,381.60","28,734"
"11-Jun-2024","EQ","207.00","215.90","205.02","205.41","212.71","213.19","211.89","289.25","64.10","66,99,297","1,41,95,13,365.83","58,014"
"10-Jun-2024","EQ","207.29","209.24","204.50","205.40","205.05","205.41","207.04","289.25","64.10","16,12,353","33,38,17,306.76","22,152"
"07-Jun-2024","EQ","204.50","208.20","202.15","201.75","205.55","205.40","205.42","289.25","64.10","22,12,723","45,45,33,543.50","31,750"
"06-Jun-2024","EQ","201.05","209.25","200.50","199.00","201.80","201.75","204.25","289.25","64.10","32,89,031","67,17,96,394.30","37,390"
"05-Jun-2024","EQ","200.00","203.70","187.40","198.95","199.00","199.00","195.86","289.25","64.10","31,86,574","62,41,11,829.15","44,576"
"04-Jun-2024","EQ","214.00","214.00","170.10","212.60","199.00","198.95","196.70","289.25","64.10","70,35,629","1,38,39,24,850.60","84,894"
"03-Jun-2024","EQ","211.10","216.50","206.65","203.15","212.40","212.60","212.64","289.25","64.10","46,37,350","98,60,77,149.85","46,313"
"31-May-2024","EQ","208.00","210.70","201.35","207.35","203.70","203.15","204.07","289.25","64.10","38,43,161","78,42,71,295.85","39,857"
"30-May-2024","EQ","214.00","216.35","206.00","215.70","207.00","207.35","210.78","289.25","64.10","20,77,745","43,79,46,097.55","27,370"
"29-May-2024","EQ","212.70","216.35","210.25","213.90","216.20","215.70","214.56","289.25","64.10","26,02,678","55,84,28,559.50","32,125"
"28-May-2024","EQ","220.00","220.00","211.50","218.25","213.55","213.90","214.87","289.25","64.10","31,48,044","67,64,10,631.50","39,922"
"27-May-2024","EQ","220.60","222.50","216.20","218.65","218.65","218.25","219.19","289.25","64.10","42,99,274","94,23,37,970.90","41,094"
