"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jan-2024","EQ","134.30","137.70","133.30","134.25","134.15","134.15","135.15","137.70","49.25","35,28,932","47,69,25,826.65","21,378"
"04-Jan-2024","EQ","132.75","134.75","131.55","132.75","134.30","134.25","133.71","136.00","49.25","18,80,372","25,14,23,466.75","12,459"
"03-Jan-2024","EQ","129.65","133.50","129.10","129.55","132.60","132.75","132.03","136.00","49.25","30,09,841","39,73,97,779.20","20,806"
"02-Jan-2024","EQ","132.60","133.20","128.00","132.75","130.00","129.55","130.05","136.00","49.25","28,36,841","36,89,32,572.30","17,927"
"01-Jan-2024","EQ","133.40","134.20","132.40","133.15","132.65","132.75","133.12","136.00","49.25","13,84,128","18,42,49,604.45","9,415"
"29-Dec-2023","EQ","133.00","136.00","130.20","133.20","132.60","133.15","133.65","136.00","49.25","29,30,967","39,17,22,663.60","18,756"
"28-Dec-2023","EQ","131.20","135.95","131.00","131.10","133.00","133.20","133.85","135.95","49.25","91,71,079","1,22,75,91,593.15","41,719"
"27-Dec-2023","EQ","129.50","132.35","129.50","129.70","131.05","131.10","131.04","135.40","49.25","34,44,078","45,13,01,875.95","17,183"
"26-Dec-2023","EQ","130.50","131.90","128.60","129.95","129.70","129.70","129.72","135.40","49.25","21,17,864","27,47,21,533.25","11,451"
"22-Dec-2023","EQ","125.40","133.40","125.40","124.25","129.95","129.95","130.57","135.40","49.25","73,79,967","96,36,31,757.65","40,648"
"21-Dec-2023","EQ","123.00","125.15","118.80","123.70","123.50","124.25","123.52","135.40","49.25","47,77,635","59,01,18,176.10","22,385"
"20-Dec-2023","EQ","132.25","135.40","122.25","131.25","122.25","123.70","130.76","135.40","49.25","78,36,734","1,02,47,12,362.60","39,664"
"19-Dec-2023","EQ","129.30","134.75","129.00","127.40","131.20","131.25","132.15","134.75","49.25","73,12,611","96,63,33,868.30","33,788"
"18-Dec-2023","EQ","129.60","129.60","127.20","129.60","127.50","127.40","127.91","132.80","49.25","16,81,094","21,50,31,862.70","8,800"
"15-Dec-2023","EQ","130.70","132.40","129.15","129.70","129.50","129.60","130.40","132.80","49.25","31,28,877","40,79,95,304.05","15,746"
"14-Dec-2023","EQ","127.85","131.85","127.50","126.55","129.75","129.70","129.68","132.80","49.25","52,21,152","67,70,54,295.85","24,307"
"13-Dec-2023","EQ","127.45","128.30","126.00","126.75","126.80","126.55","127.01","132.80","49.25","19,87,097","25,23,86,433.80","10,331"
"12-Dec-2023","EQ","127.00","128.30","125.55","126.65","126.60","126.75","127.10","132.80","49.25","25,03,634","31,82,21,582.60","15,057"
"11-Dec-2023","EQ","128.25","129.00","126.05","127.95","127.25","126.65","127.64","132.80","49.25","23,54,633","30,05,53,631.85","11,565"
"08-Dec-2023","EQ","130.30","131.70","124.50","129.90","127.85","127.95","129.10","132.80","49.25","43,47,652","56,12,98,519.55","20,837"
"07-Dec-2023","EQ","126.25","132.80","126.25","125.40","129.50","129.90","130.30","132.80","49.25","1,07,96,183","1,40,67,39,177.05","48,174"
"06-Dec-2023","EQ","125.90","126.55","124.00","124.90","125.95","125.40","125.46","128.65","49.25","30,07,773","37,73,40,561.70","16,868"
"05-Dec-2023","EQ","126.40","126.70","122.30","125.20","124.65","124.90","124.64","128.65","49.25","39,87,357","49,69,74,186.10","18,363"
"04-Dec-2023","EQ","123.50","128.65","123.25","121.80","125.00","125.20","125.88","128.65","49.25","84,30,708","1,06,12,26,911.20","39,351"
"01-Dec-2023","EQ","122.25","125.50","121.40","121.30","121.50","121.80","123.67","126.15","49.25","50,13,219","61,99,99,793.75","25,656"
